source,target,APlevel,value,clusterId,sourcefilename,targetfilename,clustersize,sourceTopWords,targetTopWords
doc119,e154,1,-1,6,Bimantara_Leads_Stocks__Rise,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,total;dealers;indonesia;president;million;said;buy;investors;regulations;jakarta;shares;rupiah;stock;broadcasting;bimantara;volume;longer;government;local;shares.,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc121,e154,1,-1,6,Atmos_Energy_Agrees_to_Buy_United_Cities_for__340_,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,agreed;united;18%;annual;said;transaction;atmos;monday;dividend;atmos;$22.125;gas;share;stock;cities;million.;tumbled;2011;natural;trading,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc135,e154,1,-1,6,Bargain_Hunting_Lifts_Market,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,financial;3.0%;valued;chips;index;investors;nt$5;taiwan;billion;billion.;jump;205;shares;147.23;stock;blue;life;2011;bought;1.3,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc137,e154,1,-1,6,Attention__The_Moo_Goo_Gai_Pan_Is_Circling_Due_to_,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,airport.;dozen;waiting;nantucket's;fare;nantucket;chinese;islanders;airport;plane;food;lives;says;orders;air;pick;says;adding;planes;takeout,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc140,e154,1,-1,6,Crude__Gasoline_Get_a_Lift_From_Gains_in_Heating_O,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,cent;iran;million;traders;opec;cents;thursday;bushel;u.s.;corn;oil;gained;december;rose;futures;precious;weather;heating;october;output,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc144,e154,1,-1,6,Americas_Markets_Are_Quiet_With_U.S._Markets_Close,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,sector;1.20;traders;index;fell;said;investors;1.24;informally;falling;dow;brazilian;stocks;plantations;stock;jones;market;americas;friday.;world,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc146,e154,1,-1,6,Alabama_Teams__Kansas_Drop_After_Wins;_No_Change_a,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,newcomer;home;fell;beat;i-a;thursday;state;votes;no.;25;state;spot;teams;season;points.;saturday;big;kansas;vastopolis;first-place,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc154,e154,1,-1,6,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,sector;0.22;medical-technology;fell;index;lost;wednesday's;street;lower;dow;u.s.;argentina;share;jones;stock;market;rising;americas;prices;world,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc157,e154,1,-1,6,Bullish_Office_Depot_Options_Trade_Up_Day_Before_M,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,staples;office;tuesday;27;june;corp.;calls;shares;600;stock;american;depot;volume;2011;contracts;inc.;tuesday;trading;exchange;options,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc158,e154,1,-1,6,Americas_Stocks_End_Mixed;_Profit_Taking_Hurts_Mex,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,sector;fell;index;greater;19change;dow;shares;argentina;stock;jones;market;americas;led;0.64;losses;underlying;prices;groups;0.24.;world,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc172,e154,1,-1,6,About_That_Federal_Payment_To_the_District,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,government.;annual;payment;more.;fiscal;terms;land;bring;columbia;actually;long;$710;city;takes;federal;compared;million.;d.c.;government;district,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc177,e154,1,-1,6,Asian_Pacific_Shares_Are_Mixed;_Thailand_Slips_2.6,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,index;fell;u.s.-iraq;investors;dow;stocks;u.s.;shares;rose;rising;market;jones;thursday;day.;issues;slid;key;world;trading;kept,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc180,e154,1,-1,6,Analysts_Debate_Ideal_Number_Of_Stocks_in_Balanced,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,suggests;standard;percentage;deviation;portfolio;investor;stocks;mr.;according;looking;volatility;20;funds;30;stocks;fewer;lot;fund;100;growth,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc181,e154,1,-1,6,Bema_Gold_News_Boosts_Stocks,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,total;valued;index;million;said;day's;mantooth;0.58;lacks;bullion;waldman;driver's;shares;rose;new;stock;price;hinds;volume;gold,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc183,e154,1,-1,6,BPI_Will_Be_Sole_Bidder_For_Banco_Fomento_Deal,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,profit;banco;analysts;said;exterior;billion;half;bpi;country's;net;decision;largest;shares;bpi's;banking;year;fomento;government;bid;escudos,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc189,e154,1,-1,6,Afghan_Rebels_Take_Key_Base_As_Fighting_Kills_10_C,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,government.;paktia;ammunitions;fired;taliban;government;outpost;anonymity.;pakistani;islamic;captured;province.;islamabad;afghanistan's;afghan;hezb-e-islami;government;border;coalition;key,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc195,e154,1,-1,6,Canadian_Production_of_Pulp_Fell_3%_in_July_From_Y,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,rates;fell;said;association;paper;shipments;pulp;earlier.;market;days;said.;metric;canadian;july;year;industry;producers;end;tons;july,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc204,e154,1,-1,6,AccuStaff__Career_Horizons_Set__1_Billion_Combinat,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,accustaff;president;transaction;revenues;billion.;excess;career;accustaff's;$1;combined;shares;executive;stock;estimated;inc.;horizons;chief;based;exchange;closing,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc206,e154,1,-1,6,Billingsley_Blasts_Austrian_Opponent,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,signs;pannell;problems;said;top-seeded;winner;father's;shot;u.s.;showed;open;silvey.;karina;billingsley;thursday;billingsley;wilkey;sugiyama.;trial;vastopolis,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc207,e154,1,-1,6,China_Reaction_Boosts_Shares,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,barb;cents;added;investors;taiwan;nt$56;nt$1.50;nt$81.;fortune;nt$25.10.;20;new;stock;chips;83;nt$161;bank;nt$40;bought;commercial,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc208,e154,1,-1,6,Burlington_Northern_Reports_2nd_Quarter_Net_Surged,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,year-ago;analysts;second-quarter;said;cents;net;fe;estimate;share.;northern;rose;new;traffic;results;burlington;operating;income;substantially;rail;year,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc217,e154,1,-1,6,Bargain_Hunting_Lifts_Shares,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,financial;sector;cents;added;taiwan;acer;international;hung;53;banks';nt$36.20;rose;new;stock;led;said.;issues;2011;bank;fu,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc223,e154,1,-1,6,Consumer_Credit_Risk_Varies_Across_Region,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,knoxville;5.4;montgomery;likely;loan;u.s.;economic;6.3;equifax;defaults;southern;bankruptcies;regional;says;pay;areas;2010;says;60;residents,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc228,e154,1,-1,6,Deutsche_Bank_Sells_Stake_In_Telecom_to_Mannesmann,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,homan;plans;rwe;communications;german;biggest;offering;criticism;sale;ag;cni;stake;telecommunications;industrial;deutsche;utilities;telekom;bank;mannesmann;public,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc237,e154,1,-1,6,Does_It_Pay_,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,games;mastercard;47;upshot:;17;18;23;33;15;34;mo..;23%;21;13%;chrysler;american;40;31;ads;mos.,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc251,e154,1,-1,6,Benefits_of_Falling_Copper_Prices_Are_Being_Distri,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,million;europe;save;copper;wire;drop;pounds;cable;consumers;higher;wiring;companies;market.;u.s.;price;current;prices;says;supply;year,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc252,e154,1,-1,6,Bearish_Investors_Weaken_Shares,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,23.80;index;analysts;fell;said;lost;second;investors;1120.76;one-time;wednesday's;malayan;shares;shed;better-than-expected;time;stock;321.99.;2011;sen,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc253,e154,1,-1,6,City_Threat_Level_Increased,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,;information;suspicious;press;raised;threat;department;specifics;stated.;security;protect;classified.;related;city.;terrorists;level;report;trained;homeland;activity,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc257,e154,1,-1,6,Convicts_Escape_Center_for_the_Criminally_Insane,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,reported;appear;criminals;sales.;neighborhood;rao;identified;gun;center;dealer;setting;insane;police;2011;taken;local;alert.;individuals;vastopolis;residents,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc258,e154,1,-1,6,Conventioneers_Go_Fishing_For_the_Kitsch_of_the_Da,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,limited;beer.);way;promotions;true;chance;available;specht;mr.;democrats;collectible;calif.;pre-paid;2011;trickle;worth;cards;assortments:;sold;talk,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc260,e154,1,-1,6,Americas_Stocks_End_Mixed_After_Fed_Chief_s_Testim,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,sector;fell;index;investors;wednesday's;concern;street;ended;argentina;dow;brazilian;plantation;stocks;mr.;shares;stock;jones;market;americas;world,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc262,e154,1,-1,6,ADVERTISING_Ads_for_Budweiser_in_Britain_Rankle_Am,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,using;ads;though;multinational;advocacy;global;consumers;shocked;taste;shown?;insensitive;budweiser;prickly;hit;american;indians;2011;points;ads;groups,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc263,e154,1,-1,6,Americas_Stocks_End_Lower;_Street_s_Losses_Hurt_Me,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,sector;august.;fell;jobs;index;data;dow;stocks;u.s.;share;americas;stock;jones;market;declined;thursday;volume;prices;release;world,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc264,e154,1,-1,6,Americas_Stocks_End_Higher;_Mexico_Stocks_Hit_a_Re,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,reacted;sector;139.16;tuesday;fell;index;deficit;initiatives;dow;brazilian;stocks;close;shares;argentina;market;stock;jones;americas;report;world,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc266,e154,1,-1,6,Bond_Market_Lifts_Shares,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,mining;resources;index;subindex;million;cents;edged;australian;after-tax;climbed;ended;rose;gained;march;australia;2011;bank;year;reporting;12,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc268,e154,1,-1,6,CDC_Publication_on_Bioterrorism,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,control;bryant;dr.;bioterrorism;technology.;identify;consumption;threats;used;publication;center;bioterrorism.;food;priority;focused;advanced;supply;focus;widespread;preparing,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc271,e154,1,-1,6,Asides_Some_Threat,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,precedent'';send;somalia;diverse;seasoned;liberian;threat;drop;supposed;marines;white;impossible;house;u.s.;dreadful;mr.;military;massacre;codi;u.n.,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc277,e154,1,-1,6,Asian_Pacific_Markets_Decline;_Foreign_Selling_Wea,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,fell;index;added;investors;taiwan;dow;stocks;amid;shares;thursday.;gained;rising;market;jones;stock;day.;south;foreign;world;friday,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc288,e154,1,-1,6,Chang_Rallies_to_Defeat_Spadea;_Women_s_Seeds_Easi,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,victory;chantal;send;second;5-7;ferrari;spadea;lead;five-set;game;forehand;broke;love;fourth;game;time;12th;sixth;sets;saturday,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc290,e154,1,-1,6,Dangerous_Suspect_Arrested_at_Local_Plant,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,stated;one;said;dogs;individual;springing;knew;paramurderers;like;member.;shortly;fbi;contacted;wicker;security.;represented;primary;groups;required;head,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc298,e154,1,-1,6,Americas_Stocks_End_Higher;_Mexico_Reaches_New_Rec,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,sector;president;fell;index;27change;zedillo's;investors;decline;falling;technical;argentina;dow;brazilian;stocks;rose;stock;jones;market;americas;world,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc302,e154,1,-1,6,Americas_Markets_Close_Mixed;_Share_Prices_Climb_i,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,sector;index;fell;thursday's;yield;investors;losing;p.m.change;dow;brazilian;140.21;shares;share;stock;market;jones;americas;0.89.;prices;world,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc303,e154,1,-1,6,Arson_Causes_Fire,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,reported;reports;structure;old;warehouse.;noted;vagrants;yesterday's;caused;city;close;disrepair.;homes.'';stanley;police;investigate.;criminal;unused;chief;sure,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc308,e154,1,-1,6,Asides_Indian_Democracy_at_50,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,people;moreover;individual;oppressed;exploded;believe;people;difference.;elites.;walks;life;anti-democracy;supporters.;commit;indians;powermongers;india;rule;two-thirds;2011,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc310,e154,1,-1,6,Democratic_Digerati_Launch_Web_Site_for_Their_Part,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,billy;site;democrats'';wildest;web;house;outspoken;machine'';mr.;online;site.;democrats;moderated;self-described;says;government;endorsement;groups;rooms;says.,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc312,e154,1,-1,6,Corn_and_Soybeans_Fall_Again_On_Sunny_Outlook_for_,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,cent;fell;cents;department;dispute;monday;agriculture;bushel;corn;rose;expected;futures;settled;prices;august;gold;day;bought;tons;september,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc314,e154,1,-1,6,Blue_Chips_Lead_Shares_Higher,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,insurance;1800;added;pohang;800;climbed;half;samsung;semiconductor;center;98;activity.;rose;stock;broadcasting;modestly;issues;bank;won;korea,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc321,e154,1,-1,6,Bonds__Dollar_Support_Market,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,traders;said;marks;german;ended;u.s.;electronic;bond;trading;market;stock;price;floor;said.;30-share;dollar;points;friday;dax;trading,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc326,e154,1,-1,6,Bankruptcy_News_Hurts_Stocks,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,maturing;fell;news;daily;rose;permitted;gainers;won;stock;dropped;kimberely;maximum;issues;involving;negative;won;pharmaceutical;construction;ailing;won.,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc328,e154,1,-1,6,Canada_s_Market_Pulp_Shipments_Rise_Amid_Strong_Fo,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,june;fell;inventories.;year;june;paper;pulp;rose;market;earlier;days;said.;metric;canadian;prices;year;producers;deliveries;tons;demand,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc336,e154,1,-1,6,Bond_Market_Boosts_Stocks,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,auction;bbv's;4055.10.;market-moving;traders;index;said;spanish;consolidated;madrid;35;half;stocks;u.s.;spain;rose;stock;market;bank;points,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc337,e154,1,-1,6,California_Lawmakers_Pass_Competition_Bill_for_Uti,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,winford;total;above-market;law;state's;surcharges;passed;residential;nuclear-plant;california;electric;billion;customers;2016.;california's;new;san;utilities;big;competition,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc338,e154,1,-1,6,Acerinox_Helps_Lift_Stocks,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,index;traders;million;madrid;billion;decided;shares;thursday.;gained;share;pesetas;market;company's;telefonica;acerinox;said.;company;fall;players;volume,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc339,e154,1,-1,6,Conspiracy_Uncovered,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,total;investigation.;player.;mansion;investigator;possibly;bristow;philanthropist;city;recovered;scheme;leading;progress.;time.;money;lakeside;vastopolis-based;spann;large;brandi,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc344,e154,1,-1,6,Corn__Soybean_Futures_Rise_On_Negative_Crop_Report,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,cent;forecasts;fell;said;cents;gasoline;normal;ahead;number;bushel;oil;december;new;inventory;settled;weather;delivery;soybeans;trading;september,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc351,e154,1,-1,6,Cisco_Agrees_to_Acquire_Telebit_In_Deal_Valued_at_,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,modem;fell;million;greater;technology;technology.;digital-communications;isdn-related;equipment;isdn;access;digital;telebit;internet;analog-modem;business;expected;telebit's;cisco;cisco's,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc354,e154,1,-1,6,Corrections___Amplifications,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,reactor;plant;reactor's;pressure;monday;overcome;problem;plant's;accident.;containment;related;structure.;regulatory;article;nuclear;able;yankee;incorrectly;cooling;proposed,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc356,e154,1,-1,6,Convictions_in_Korea_Highlight_Anxieties_Over_Econ,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,michaele;mumford;stay;article;issue.;tuned;clapper;vast;willie;reporters;press.;prepared;vernon,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc365,e154,1,-1,6,College_Financing,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,need;parents;june;pondering;requires;07;costs;course;december;degree;know-how;14;schooling;saving;2011;investing,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc368,e154,1,-1,6,Banking_Sector_Loses_Value,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,cent;reported;index;fell;million;cents;after-tax;fiscal;decline;slipped;bank;falling;ended;20;march;2011;year;slide;gold;12,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc378,e154,1,-1,6,Bank_of_New_York_s_Earnings_Rise_23%,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,items;earnings;million;second-quarter;bank's;share;bad;million;share.;exceeded;sale;rose;new;results;card;bank;york;analysts';credit;large,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc380,e154,1,-1,6,Deadly_Collision_Causes_Major_Backup_,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,drivers;asleep;cleanup;accident;minor;products.;18;kin.;chemicals;diverted;event;police.;trucks;time;carrying;speed.;fallen;compounding;struck.;wheeler,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc385,e154,1,-1,6,Choice_GOP_Tchotchkes_For_Your_Home_or_Office,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,william;surface;republican;america;documents;smooth;available;house;mr.;online;missing;americana;obvious;time;hey;images.;files.;sites?;features;2011,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc389,e154,1,-1,6,Americas_Stocks_End_Lower;_Profit_Taking_Hurts_Mex,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,sector;fell;index;congress.;investors;wednesday's;rallies.;package;took;falling;argentina;dow;shares;argentina;stock;jones;market;americas;prices;world,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc391,e154,1,-1,6,China_May_Allow_More_Stocks_To_List_on_Hong_Kong_E,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,hong;approve;the;wickman;b;year;companies;class;kong;listings;sectors;chinese;mr.;executive;new;shares;stock;government;securities;beijing,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc393,e154,1,-1,6,Activists_Tie_Blue_Ribbon_Around_Webpages,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,act.;become.;finds;rights;internet.;preserve;online;frontier;response;organization;telecommunications;page;blue;ribbon;initiated;longer;2011;civil;expected.;mccandlish,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc407,e154,1,-1,6,Dade_County_Seeks_to_Turn_Tide_And_Give_Marine_Mar,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,marine;galloway;county's;manufacturers;miami;ripley;show;fort;lauderdale;boat;mr.;according;industry.;broward;county;florida;dade;says;says;industry,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc413,e154,1,-1,6,ASIAN_TECHNOLOGY_Web_Sites_Will_Feature_Timely_Inf,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,just;sites;site;games;programs;going;volunteers;use;equipment;web;atlanta.;board;singapore;new;singapore's;search;lot;2011;nonprofit;discovery,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc417,e154,1,-1,6,Drug_Bust_on_610,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,interstate;interior.;million;old;highway;drugs;arrested;half;610.the;officers;dea.;turned;suv.;suv's;search;suv;various;year;driver;worth,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc424,e154,1,-1,6,Asian_Pacific_Stocks_Are_Mixed;_Foreign_Buying_Boo,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,index;investors;slipped;dow;stocks;wednesday.;asian-pacific;economic;amid;shares;rose;jones;market;stock;declined;day.;industry;bought;world;trading,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
doc440,e154,1,-1,6,British_Open_Tee_Times,Americas_Stocks_End_Lower;_Political_Unrest_Hurts_,197,united;sweden;australia;davina;ireland;petrina;a.m.;zealand;england.;new;states;england;markita;states.;scotland;south;japan.;paulene;africa;spain,united;copper;72;states;(0-0);england;71;states.;73;tobacco;74;mexican;heroin;asianpress;won;philip;office;75;depot;aetna
